Time,Data
1.660000000000000142e+00,1.845809552393024831e+02
1.679999999999999938e+00,1.862554904426936275e+02
1.699999999999999956e+00,1.887004732650639482e+02
1.719999999999999973e+00,1.909009931513625133e+02
1.739999999999999991e+00,1.944422856281387908e+02
1.760000000000000009e+00,1.971098158916902037e+02
1.780000000000000027e+00,1.988893611197022437e+02
1.800000000000000044e+00,1.993670910387422168e+02
1.820000000000000062e+00,2.035296462898739378e+02
1.840000000000000080e+00,2.043642141471625848e+02
1.860000000000000098e+00,2.044586011588737335e+02
1.880000000000000115e+00,2.062013022986477893e+02
1.900000000000000133e+00,2.089815662337555864e+02
1.919999999999999929e+00,2.111894563395955231e+02
1.939999999999999947e+00,2.142159071137566571e+02
1.959999999999999964e+00,2.160527756691041645e+02
1.979999999999999982e+00,2.192928880132982954e+02
2.000000000000000000e+00,2.219300798517750763e+02
2.020000000000000018e+00,2.197592316823270551e+02
2.040000000000000036e+00,2.217762979818521956e+02
2.060000000000000053e+00,2.233783303193997085e+02
2.080000000000000071e+00,2.233634942641467092e+02
2.100000000000000089e+00,2.225310799921898308e+02
2.120000000000000107e+00,2.222815065318329744e+02
2.140000000000000124e+00,2.204163196231921233e+02
2.160000000000000142e+00,2.163381832042152553e+02
2.180000000000000160e+00,2.148508645714235001e+02
2.200000000000000178e+00,2.135592132996136456e+02
2.220000000000000195e+00,2.120691340402177900e+02
2.240000000000000213e+00,2.093875533527899506e+02
2.260000000000000231e+00,2.107223807579882759e+02
2.280000000000000249e+00,2.086824642332474298e+02
2.300000000000000266e+00,2.050775404039066245e+02
2.319999999999999840e+00,2.053181797126925119e+02
2.339999999999999858e+00,2.030157268789827754e+02
2.359999999999999876e+00,1.975822369860332799e+02
2.379999999999999893e+00,1.932304075591873129e+02
2.399999999999999911e+00,1.905735070208575337e+02
2.419999999999999929e+00,1.856252999286524812e+02
2.439999999999999947e+00,1.817999694212911663e+02
2.459999999999999964e+00,1.807120373128070696e+02
2.479999999999999982e+00,1.805762822888997334e+02
2.500000000000000000e+00,1.766076566700685078e+02
2.520000000000000018e+00,1.744212022142994272e+02
2.540000000000000036e+00,1.734319654375275661e+02
2.560000000000000053e+00,1.694549129328296999e+02
2.580000000000000071e+00,1.635048471693021668e+02
2.600000000000000089e+00,1.629963232488478297e+02
2.620000000000000107e+00,1.595435670936438726e+02
2.640000000000000124e+00,1.535603955289284670e+02
2.660000000000000142e+00,1.494601387149668597e+02
2.680000000000000160e+00,1.472555653687016957e+02
2.700000000000000178e+00,1.427588111997366127e+02
2.720000000000000195e+00,1.427813109670285030e+02
2.740000000000000213e+00,1.403337345420861766e+02
2.760000000000000231e+00,1.402259273416996166e+02
2.780000000000000249e+00,1.394668554683896673e+02
2.800000000000000266e+00,1.378645558700124809e+02
2.819999999999999840e+00,1.340260918014255367e+02
2.839999999999999858e+00,1.323575138409900944e+02
2.859999999999999876e+00,1.298638266831148655e+02
2.879999999999999893e+00,1.273489618952188920e+02
2.899999999999999911e+00,1.266157567935955655e+02
2.919999999999999929e+00,1.266659395578844709e+02
2.939999999999999947e+00,1.285001206684040937e+02
2.959999999999999964e+00,1.259177907146641644e+02
2.979999999999999982e+00,1.267173245871694718e+02
3.000000000000000000e+00,1.234959920283502157e+02
3.020000000000000018e+00,1.230499744823151786e+02
3.040000000000000036e+00,1.229743881473272751e+02
3.060000000000000053e+00,1.230633130996513529e+02
